Group,Item,Qty,Category,Standard,Material,Dimensions,Features,Finish,Color,Notes
3. Back,M3x12 cyl. hex,2,Screw,ISO4762,,,Grade 12.9,black,black,
3. Back,Foot,2,FDM printed,,Extrudr TPU 85A,,"0.2mm layer, 0% infill",,black,
3. Back,y-Nema Holder,1,FDM printed,,Extrudr ASA,,"0.2mm layer, 25% honeycomb",,neon-orange,
3. Back,Nema17,1,Stepper motor,,,,model 42DN0155B-22,,black,
3. Back,stepper cable 20cm,1,Stepper cable,,,20cm,"PHR-6 / XHP-4, UL1007 24AWG 4P",,black,specsheet on GitHub
3. Back,Pulley motor,1,GT2,,,"5mm bore, belt Width 6mm","30 teeth, 5mm bore, belt width 6mm",anodized,natural,
3. Back,y-Axis Timing Belt,1,Timing belt,,,6 x 150mm,,,black,
3. Back,M3x30 cyl.hex,4,Screw,ISO4762,,,Grade 12.9,black,black,
3. Back,M5 self-locking Nut,2,Nut,ISO 10511,,,Grade 10.8,black,black,
4. Left,Left,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,black,
4. Left,bearing,1,Bearing (608Z),,,,,,silver,NSK Japan
4. Left,M3 self-locking Nut,2,Nut,ISO 10511,,,Grade 8.8,galvanized,silver,
4. Left,M3x12 cyl. hex,6,Screw,ISO4762,,,Grade 12.9,black,black,
4. Left,x-Nema Holder,1,FDM printed,,Extrudr ASA,,"0.2mm layer, 25% honeycomb",,neon-orange,
4. Left,x-House,1,FDM printed,,Extrudr ASA,,"0.2mm layer, 25% honeycomb",,neon-orange,
4. Left,Magnet,0,Magnet,,NdFeB (neodymium),3x3mm cylindrical,Grade N45,nickel plated,silver,
4. Left,Nema17,1,Stepper motor,,,,model 42DN0155B-22,,black,
4. Left,stepper cable 15cm,1,Stepper cable,,,15cm,"PHR-6 / XHP-4, UL1007 24AWG 4P",,black,specsheet on GitHub
4. Left,Pulley motor,1,GT2,,,"5mm bore, belt Width 6mm","30 teeth, 5mm bore, belt width 6mm",anodized,natural,
4. Left,x-Axis Timing Belt,1,Timing belt,,,6 x 200mm,,,black,
4. Left,M4x25 countersunk hex,2,Screw,ISO 10642,,,Grade 10.8,black,black,
4. Left,M4 self-locking Nut,2,Nut,ISO 10511,,,Grade 8.8,galvanized,silver,
5. Right,Right,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,black,
5. Right,bearing,1,Bearing (608Z),,,,,,silver,NSK Japan
5. Right,M3 self-locking Nut,2,Nut,ISO 10511,,,Grade 8.8,galvanized,silver,
5. Right,M3x12 cyl. hex,2,Screw,ISO4762,,,Grade 12.9,black,black,
6. Electronics,Faceplate,1,FDM printed,,Extrudr PETG,,"0.2mm layer, 25% honeycomb",,black,
6. Electronics,PCB,1,PCB,,,,,,green,JLCPCB
6. Electronics,LCD,1,LCD module,,,,"3.5"" IPS TFT, 320x480, capacitive touch incl. controller",,,no ZIF connector
7. Body,rod,4,Rod,,1.4301 Stainless Steel,12 x 200mm,"ground h9, +1mm length",,silver,
7. Body,spring washer,1,Spring washer,,spring steel,8x0.2mm,,,silver,SKF (mfr)
7. Body,Cableclip 1x,3,FDM printed,,Extrudr PC/PBT,,0.2mm layer,,black,
7. Body,Cableclip 2x,2,FDM printed,,Extrudr PC/PBT,,0.2mm layer,,black,
7. Body,M5x30 countersunk hex,8,Screw,ISO 10642,,,Grade 10.8,black,black,
7. Body,M5 self-locking Nut,6,Nut,ISO 10511,,,Grade 10.8,black,black,
7. Body,Plate,1,Plate,,1.4404 316L,85x85x3mm,r=5mm corner radius,,silver,specsheet on GitHub
